"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 10, 2015","300.00","302.00","302.00","299.00","45.69K","0.27%"
"Sep 09, 2015","299.20","297.00","300.20","297.00","20.39K","0.74%"
"Sep 08, 2015","297.00","298.00","298.00","297.00","0.41K","-0.34%"
"Sep 07, 2015","298.00","298.20","298.20","298.00","0.36K","-0.07%"
"Sep 04, 2015","298.20","300.00","302.00","298.20","2.24K","-0.60%"
"Sep 03, 2015","300.00","305.00","305.00","297.80","72.00K","0.00%"
"Sep 02, 2015","300.00","298.80","305.00","298.00","54.43K","0.00%"
"Sep 01, 2015","300.00","299.00","300.00","299.00","1.22K","0.00%"
"Aug 28, 2015","300.00","300.00","300.00","299.00","80.82K","0.00%"
"Aug 27, 2015","300.00","307.80","307.80","299.20","32.19K","0.07%"
"Aug 26, 2015","299.80","299.80","300.00","298.00","64.29K","1.63%"
"Aug 25, 2015","295.00","299.00","299.00","295.00","20.48K","-1.47%"
"Aug 24, 2015","299.40","300.00","300.00","299.40","78.38K","-0.20%"
"Aug 20, 2015","300.00","300.00","305.00","300.00","11.40K","-1.64%"
"Aug 19, 2015","305.00","300.20","305.00","300.00","4.49K","1.33%"
"Aug 18, 2015","301.00","306.60","306.60","301.00","0.24K","-0.66%"
"Aug 17, 2015","303.00","303.00","304.00","300.00","1.35K","-0.33%"
"Aug 14, 2015","304.00","304.00","304.00","304.00","0.72K","-0.33%"
"Aug 13, 2015","305.00","306.60","306.60","304.00","0.90K","-0.52%"
"Aug 12, 2015","306.60","305.00","306.60","305.00","0.69K","0.00%"
"Aug 11, 2015","306.60","307.00","307.00","304.80","10.66K","0.00%"
"Aug 10, 2015","306.60","307.00","307.00","305.00","0.36K","0.52%"
"Aug 07, 2015","305.00","305.00","305.00","305.00","3.01K","0.00%"
"Aug 06, 2015","305.00","305.00","305.20","305.00","22.19K","-0.65%"
"Aug 05, 2015","307.00","305.00","308.00","305.00","22.29K","0.66%"
"Aug 04, 2015","305.00","305.00","306.00","304.80","41.65K","-0.33%"
"Aug 03, 2015","306.00","306.00","310.00","306.00","24.20K","-1.29%"
"Jul 31, 2015","310.00","306.00","310.00","305.80","21.54K","-1.27%"
"Jul 30, 2015","314.00","306.00","315.00","305.80","21.66K","2.61%"
"Jul 29, 2015","306.00","306.00","316.00","306.00","27.66K","-0.91%"
"Jul 28, 2015","308.80","309.00","309.00","307.20","22.21K","-1.03%"
"Jul 27, 2015","312.00","308.00","314.00","306.80","31.32K","-1.08%"
"Jul 24, 2015","315.40","305.00","316.00","305.00","44.94K","2.07%"
"Jul 23, 2015","309.00","307.20","309.00","307.00","1.65K","0.65%"
"Jul 22, 2015","307.00","307.20","307.20","307.00","1.21K","-0.07%"
"Jul 21, 2015","307.20","307.20","310.00","307.00","5.74K","-0.07%"
"Jul 20, 2015","307.40","307.20","310.00","307.20","0.40K","0.13%"
"Jul 16, 2015","307.00","307.00","307.00","307.00","1.00K","-0.97%"
"Jul 15, 2015","310.00","304.00","310.00","304.00","26.05K","0.32%"
"Jul 14, 2015","309.00","301.00","310.00","300.00","25.02K","2.66%"
"Jul 13, 2015","301.00","300.00","301.00","300.00","0.82K","-1.63%"
"Jul 10, 2015","306.00","301.00","306.00","300.20","26.53K","2.00%"
"Jul 09, 2015","300.00","302.00","305.00","300.00","27.15K","-0.99%"
"Jul 08, 2015","303.00","305.80","305.80","301.00","1.22K","-0.92%"
"Jul 07, 2015","305.80","302.00","305.80","302.00","0.13K","-0.07%"
"Jul 06, 2015","306.00","305.00","306.00","302.00","4.00K","-0.20%"
"Jul 03, 2015","306.60","306.60","306.80","306.60","1.99K","0.07%"
"Jul 02, 2015","306.40","305.00","306.60","305.00","1.82K","0.46%"
"Jul 01, 2015","305.00","305.60","305.60","305.00","0.49K","-0.20%"
"Jun 30, 2015","305.60","305.20","305.60","305.00","0.16K","0.00%"
"Jun 29, 2015","305.60","305.00","305.60","302.00","26.31K","0.20%"
"Jun 26, 2015","305.00","306.00","306.00","305.00","1.54K","-0.33%"
"Jun 25, 2015","306.00","306.00","306.00","306.00","0.10K","-0.26%"
"Jun 24, 2015","306.80","306.00","306.80","306.00","0.22K","0.00%"
"Jun 23, 2015","306.80","306.20","307.00","306.00","6.77K","-0.20%"
"Jun 22, 2015","307.40","301.00","307.40","301.00","6.84K","0.26%"
"Jun 19, 2015","306.60","306.00","306.80","306.00","1.15K","0.20%"
"Jun 18, 2015","306.00","306.40","306.40","306.00","0.03K","-0.13%"
"Jun 17, 2015","306.40","306.00","306.60","306.00","5.79K","0.13%"
"Jun 16, 2015","306.00","302.20","306.00","302.20","0.50K","0.00%"
"Jun 15, 2015","306.00","302.00","306.00","302.00","0.24K","0.00%"
"Jun 11, 2015","306.00","306.00","306.00","306.00","0.37K","0.33%"
"Jun 10, 2015","305.00","305.00","305.00","302.00","0.21K","0.00%"
"Jun 09, 2015","305.00","307.00","307.00","304.00","7.76K","-0.65%"
"Jun 08, 2015","307.00","305.00","307.00","305.00","1.38K","0.66%"
"Jun 05, 2015","305.00","307.00","307.00","305.00","7.59K","-0.65%"
"Jun 04, 2015","307.00","307.20","307.20","307.00","15.90K","-0.07%"
"Jun 03, 2015","307.20","310.00","310.20","307.20","6.38K","-1.22%"
"Jun 02, 2015","311.00","314.60","314.60","310.00","7.49K","-1.27%"
"Jun 01, 2015","315.00","307.00","315.00","307.00","0.49K","2.61%"
"May 29, 2015","307.00","307.00","309.00","303.00","3.77K","-0.90%"
"May 28, 2015","309.80","314.00","314.00","308.00","10.78K","-0.06%"
"May 27, 2015","310.00","313.00","313.00","310.00","0.67K","0.00%"
"May 26, 2015","310.00","313.00","313.00","310.00","3.96K","-0.96%"
"May 25, 2015","313.00","312.60","313.80","312.60","0.55K","-0.06%"
"May 22, 2015","313.20","314.00","314.60","313.00","2.22K","-0.89%"
"May 21, 2015","316.00","314.40","316.00","314.00","1.39K","0.51%"
"May 20, 2015","314.40","317.00","317.00","314.40","1.78K","-0.82%"
"May 19, 2015","317.00","317.00","318.00","317.00","1.19K","0.00%"
"May 18, 2015","317.00","317.00","317.00","317.00","0.48K","0.00%"
"May 15, 2015","317.00","318.00","318.00","317.00","1.07K","-0.25%"
"May 14, 2015","317.80","315.00","317.80","315.00","1.06K","0.89%"
"May 13, 2015","315.00","318.00","318.00","315.00","2.79K","-0.82%"
"May 12, 2015","317.60","318.00","318.60","315.00","52.69K","-0.38%"
"May 11, 2015","318.80","317.00","319.00","316.00","38.84K","0.57%"
"May 08, 2015","317.00","318.00","318.00","317.00","27.40K","-0.31%"
"May 07, 2015","318.00","315.00","318.00","315.00","45.72K","0.00%"
"May 06, 2015","318.00","315.00","319.00","315.00","43.90K","-0.31%"
"May 05, 2015","319.00","319.00","320.00","315.00","1.20K","0.00%"
"May 04, 2015","319.00","325.00","326.00","319.00","0.37K","0.95%"
"Apr 30, 2015","316.00","317.00","317.00","315.00","0.69K","-0.32%"
"Apr 29, 2015","317.00","319.00","319.00","316.20","1.01K","0.13%"
