"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 07, 2020","86.55","87.55","88.45","86.55","865.53K","-2.20%"
"Jan 06, 2020","88.50","88.95","88.95","86.85","1.66M","-0.56%"
"Jan 03, 2020","89.00","88.00","89.90","87.00","1.85M","1.14%"
"Jan 02, 2020","88.00","86.10","88.00","85.95","781.91K","0.11%"
"Dec 27, 2019","87.90","88.00","88.00","86.70","2.22M","1.15%"
"Dec 26, 2019","86.90","87.50","87.50","86.60","287.71K","-0.69%"
"Dec 23, 2019","87.50","86.40","87.50","86.00","1.67M","0.57%"
"Dec 20, 2019","87.00","83.80","87.00","82.20","7.06M","3.82%"
"Dec 19, 2019","83.80","82.50","84.45","82.10","2.21M","0.84%"
"Dec 18, 2019","83.10","84.00","84.00","81.30","4.37M","-1.77%"
"Dec 17, 2019","84.60","87.30","87.30","84.20","3.84M","-3.09%"
"Dec 16, 2019","87.30","91.00","91.00","87.10","1.81M","-4.07%"
"Dec 13, 2019","91.00","90.50","91.00","89.10","1.45M","0.55%"
"Dec 12, 2019","90.50","89.00","90.85","89.00","1.99M","1.69%"
"Dec 11, 2019","89.00","87.90","89.00","86.75","991.04K","2.89%"
"Dec 10, 2019","86.50","88.95","88.95","86.50","1.36M","-2.81%"
"Dec 09, 2019","89.00","89.00","89.50","88.30","2.31M","0.00%"
"Dec 06, 2019","89.00","88.15","89.35","87.60","5.66M","-1.06%"
"Dec 05, 2019","89.95","89.00","89.95","88.95","2.92M","1.07%"
"Dec 04, 2019","89.00","87.80","89.00","87.60","2.81M","2.01%"
"Dec 03, 2019","87.25","86.80","88.20","86.70","4.77M","0.98%"
"Dec 02, 2019","86.40","86.90","86.90","84.90","2.84M","0.52%"
"Nov 29, 2019","85.95","88.20","88.40","85.60","2.64M","-2.33%"
"Nov 28, 2019","88.00","89.00","89.00","87.10","4.34M","-0.96%"
"Nov 27, 2019","88.85","88.00","89.25","87.65","6.66M","2.13%"
"Nov 26, 2019","87.00","90.10","90.70","87.00","10.06M","-3.33%"
"Nov 25, 2019","90.00","90.50","90.85","89.05","2.06M","-0.44%"
"Nov 22, 2019","90.40","90.70","92.00","89.25","5.44M","-0.55%"
"Nov 21, 2019","90.90","92.25","92.85","90.90","2.27M","-2.26%"
"Nov 20, 2019","93.00","93.60","93.60","92.20","1.95M","-1.06%"
"Nov 19, 2019","94.00","95.00","95.40","93.50","1.45M","-1.57%"
"Nov 18, 2019","95.50","95.50","96.00","93.85","665.38K","-0.52%"
"Nov 15, 2019","96.00","95.40","97.00","93.60","2.83M","1.91%"
"Nov 14, 2019","94.20","94.45","95.90","94.20","742.42K","-0.84%"
"Nov 13, 2019","95.00","96.00","96.00","94.50","1.44M","-1.55%"
"Nov 12, 2019","96.50","97.30","98.00","96.00","1.25M","-1.53%"
